,expert_name,startup_name,How well is the problem identified and defined?,What is the level of pain area felt / perceived by the target customers / consumers?,What is the level of uniqueness in the proposition for the venture?,How high are the defensible technology barriers in the business? (High being 4),What is the strength of the competitive advantage in the business model?,What is the level of competition in terms of alternatives available ?,What is the level of sustainability of the competitive advantage in the next 24 months?,Are the business milestones for the next 24 months exciting?,Are the business metrics clearly defined,How feasible do you think is the Go To Market plan in next 12-18 month timeframe ?,What is the level of understanding and clarity of the financial projections by the team ?,Does the business model has high level of operating leverage & scalability potential ?,How do you think is the ability of the team to manage risks with Plan B ?,What would you say is your ‘Unfair Advantage’ that would add competitive advantage vs anyone who could start the same venture ?,How would you rate the likability & connect with the Founder and his authenticity?,How did you find the overall presentation quality in terms of clarity and impact through communication ?,"How would you rate the quality of presentation deck in terms of clarity, scope, visual impact & simplicity ?",What is the overall feasibility of the business going forward ?,Relevant Industry/market background of team,Addressable Market Size,Technology Barrier,Go to market plan strength,Revenue Stage,Product Uniqueness,Additional Comments
11,Marc Nicollet,AIRPORTELs,1.0,0.75,0.75,0.5,0.5,0.5,0.5,1,1,0.75,0.75,1.0,1.0,0.7202,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.9258
12,Marc Nicollet,NayaGaadi,0.75,0.5,0.5,0.5,0.5,1.0,0.0,1,1,0.75,0.75,0.5,0.5,0.5,0.75,0.75,0.5,0.5,0.5,1.0,0.0,0.5,0.5,0.0,0.5
13,Fred Then,carmen automotive pte ltd,1.0,0.75,1.0,1.0,1.0,0.0,1.0,1,1,1.0,0.75,1.0,0.5,0.625,0.75,0.75,0.75,1.0,1.0,0.5,1.0,1.0,0.5,1.0,0.6806
14,Fred Then,BotFactory,0.75,0.75,0.75,0.5,0.5,0.5,0.5,1,1,0.75,0.75,0.5,0.5,0.7202,0.75,0.75,0.75,1.0,1.0,0.5,0.5,0.5,0.0,1.0,0.57655
15,Fred Then,GamerHours,0.5,0.5,0.5,0.5,0.0,1.0,0.0,0,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.5,1.0,0.0,0.0,0.0,0.0,0.5
16,Fred Then,gridComm,1.0,1.0,0.75,1.0,1.0,1.0,1.0,1,1,0.75,0.75,1.0,1.0,0.85015,0.75,1.0,0.75,1.0,0.0,1.0,1.0,1.0,0.5,1.0,0.7202
17,Fred Then,Brisil Technologies Private Limited,1.0,1.0,1.0,0.75,0.5,0.5,0.5,1,1,0.75,0.75,1.0,0.5,0.44865,0.75,0.75,0.5,1.0,1.0,1.0,1.0,0.5,0.5,1.0,0.352
18,Fred Then,Go Plus,1.0,0.75,0.75,0.5,0.5,1.0,0.5,1,0,0.5,0.25,0.0,0.5,0.57655,0.75,0.5,0.5,0.5,0.5,0.0,0.5,0.0,0.0,0.5,0.5640000000000001
19,Fred Then,Quickscrum,0.25,0.5,0.5,0.25,0.0,1.0,0.0,0,0,0.25,0.25,0.0,0.0,0.5,0.25,0.25,0.25,0.5,1.0,0.5,0.0,0.0,0.5,0.0,0.5577
20,Fred Then,Sepio Products,1.0,1.0,0.75,0.75,1.0,0.5,0.5,1,1,1.0,0.75,1.0,1.0,0.6591,1.0,0.75,0.75,1.0,1.0,1.0,1.0,0.5,0.5,1.0,0.7202
21,Fred Then,Air Freight Bazaar,1.0,1.0,0.75,0.75,0.5,0.5,0.5,1,1,0.75,0.75,0.5,0.5,0.5,1.0,0.75,0.5,1.0,1.0,0.0,0.5,0.5,0.0,0.5,0.7202
22,Fred Then,Got It,1.0,1.0,0.75,0.75,0.5,1.0,0.5,1,1,1.0,0.75,1.0,1.0,0.5,1.0,0.75,0.75,1.0,1.0,0.5,0.5,0.5,0.5,0.5,0.9277500000000001
23,Fred Then,MIFON,1.0,0.75,0.5,0.5,0.5,0.5,0.0,1,0,0.75,0.5,0.5,0.0,0.5,0.75,0.5,0.25,0.5,1.0,1.0,0.5,0.0,0.5,0.5,0.5
24,Fred Then,PHI,1.0,1.0,1.0,1.0,1.0,0.5,0.5,1,1,0.75,0.75,1.0,1.0,0.7202,1.0,1.0,0.75,1.0,1.0,1.0,1.0,0.5,0.5,1.0,0.79635
25,Fred Then,HyperXchange,1.0,0.75,0.75,0.5,0.5,1.0,0.5,1,0,0.75,0.75,0.5,0.5,0.352,0.75,0.75,0.25,1.0,0.0,1.0,0.0,0.0,0.0,0.5,0.5
26,Fred Then,PriceMap,1.0,1.0,1.0,0.5,1.0,0.5,0.5,1,1,0.75,0.75,0.5,0.5,0.625,1.0,0.5,0.5,1.0,1.0,0.5,0.0,0.5,0.0,0.5,0.6374
27,David Wai Lun Ng,Tesseract Global Technologies Pvt Ltd,0.75,0.75,0.5,0.25,0.5,1.0,0.0,1,1,0.75,0.75,0.5,0.0,0.5,0.5,0.5,0.75,0.0,0.5,1.0,0.5,0.5,0.5,0.0,0.5
28,David Wai Lun Ng,Pilot Automotive Labs,1.0,0.5,1.0,0.25,0.5,0.0,0.5,1,1,0.25,0.5,0.0,0.5,0.5,0.5,0.5,0.5,0.0,1.0,0.5,0.5,0.0,0.0,0.5,0.4871
29,David Wai Lun Ng,EmotionReader,0.75,0.75,1.0,0.5,0.5,0.5,0.5,1,1,0.75,1.0,0.5,0.5,0.5,1.0,0.75,0.75,0.5,1.0,0.5,0.5,0.0,0.5,0.5,0.5
30,David Wai Lun Ng,Solarite Technologies Pte. Ltd.,1.0,0.75,0.75,0.5,0.5,0.0,0.5,1,0,0.75,0.75,0.0,0.5,0.5,0.75,0.75,0.75,0.5,0.5,1.0,1.0,0.5,0.5,1.0,0.5
31,David Wai Lun Ng,Velox Network Pte Ltd,1.0,0.75,0.75,0.5,0.5,0.0,0.5,1,1,0.75,1.0,0.5,0.5,0.30910000000000004,0.75,0.75,1.0,0.5,1.0,1.0,0.5,0.0,0.0,0.0,0.6806
32,Ramm,GroSum,0.75,0.75,0.5,0.5,0.0,1.0,0.0,0,0,0.5,0.25,0.0,0.0,0.5,1.0,0.75,0.5,0.0,0.0,1.0,0.5,0.0,1.0,0.0,0.79295
33,Ramm,Juno Clinic,1.0,1.0,1.0,0.5,1.0,0.5,0.5,1,1,1.0,1.0,1.0,1.0,0.5,0.75,1.0,0.75,1.0,0.0,0.5,0.0,1.0,1.0,0.5,0.6909
34,Ramm,forBinary,0.75,0.75,0.5,0.5,0.5,1.0,0.5,1,0,0.75,0.75,0.5,0.5,0.7202,0.75,0.75,0.75,1.0,1.0,0.0,0.5,0.5,0.0,0.0,0.74695
35,Ramm,Canopy Power Pte. Ltd.,0.75,0.75,0.5,0.5,0.5,0.5,0.0,0,0,0.75,0.5,1.0,0.0,0.5,1.0,0.75,0.75,0.5,1.0,1.0,0.5,0.5,1.0,0.5,0.5
36,Ramm,GetPY Analytics,0.75,1.0,0.75,0.25,0.5,1.0,0.5,1,0,0.5,0.25,0.5,0.5,0.5,0.75,0.5,0.5,0.5,0.0,1.0,0.5,0.0,0.0,0.5,0.91995
37,Ramm,HeartSmart,0.5,0.5,0.75,0.25,0.0,0.5,0.0,0,0,0.25,0.25,0.0,0.5,0.5,0.75,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8062
38,Ramm,OhPhish Technologies Private Limited,0.5,0.75,0.75,0.25,0.5,0.5,0.5,1,0,0.5,0.75,0.5,0.5,0.5,0.75,0.75,0.75,1.0,1.0,0.0,0.0,0.5,0.5,0.5,0.76335
39,Ramm,Luminociti Networks,0.75,0.75,0.75,0.25,0.5,0.0,0.0,0,0,0.5,0.25,1.0,0.0,0.5,0.75,0.5,0.5,0.0,1.0,0.5,0.0,0.0,0.0,0.0,0.96035
40,Ramm,Singapore E-Business Pte Ltd,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1,1,1.0,1.0,1.0,1.0,0.81245,1.0,1.0,1.0,1.0,0.0,0.5,0.5,1.0,1.0,1.0,0.9259
41,Ramm,Medinfi Healthcare Pvt Ltd,0.75,0.75,0.5,0.5,0.5,1.0,0.5,1,1,0.5,0.5,0.5,0.0,0.5,0.75,0.5,0.5,0.5,0.0,0.5,0.0,0.0,0.0,0.5,0.9570000000000001
42,Ramm,SmartClean Technologies Pte Ltd,0.75,0.75,0.75,0.75,0.5,1.0,0.5,0,1,0.75,0.75,0.5,0.5,0.5,1.0,0.75,0.75,0.5,1.0,0.0,1.0,0.5,0.5,0.5,0.85015
43,Ramm,Blonk,0.75,0.75,1.0,0.5,0.0,1.0,0.0,1,1,0.5,0.5,0.5,0.5,0.5,1.0,0.75,0.75,0.5,1.0,0.5,0.5,0.0,0.0,0.0,0.9329000000000001
44,Kenya,Eunimart Crossborder Pte Ltd,1.0,1.0,0.75,0.75,0.5,1.0,0.5,1,1,0.5,0.75,1.0,0.5,0.625,0.75,0.75,0.75,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.7202
45,Kenya,Invento Robotics,0.5,0.5,0.75,1.0,0.5,1.0,1.0,1,0,0.5,0.5,1.0,1.0,0.5,0.5,0.75,0.5,0.5,1.0,0.5,1.0,0.0,0.0,1.0,0.9500500000000001
46,Kenya,Bank2grow.com,1.0,1.0,0.5,0.5,0.5,1.0,0.5,0,0,0.5,0.5,0.0,0.5,0.625,0.5,0.75,0.5,0.5,0.0,0.5,1.0,0.0,0.0,0.5,0.88915
47,Kenya,"BlobCity, Inc",0.5,0.5,0.75,0.5,0.0,0.0,0.5,0,0,0.5,0.5,0.0,0.5,0.5,0.75,0.5,0.5,0.0,0.0,0.0,0.5,0.0,1.0,0.5,0.37195
48,Kenya,Drones Tech Lab,0.75,1.0,0.5,0.5,0.5,0.5,1.0,0,0,0.5,0.5,0.0,0.0,0.8404,0.5,0.5,0.5,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.7553000000000001
49,Kenya,Limitless,0.75,0.5,0.25,0.5,0.0,1.0,0.0,0,0,0.5,0.5,1.0,0.0,0.5,0.5,0.25,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5
50,Kenya,Kenyt.ai,0.5,0.5,0.25,0.5,0.0,1.0,0.0,0,0,0.5,0.75,0.5,0.0,0.7553000000000001,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48685
51,Kenya,Pingal Technologies Pvt Limited,0.5,0.25,0.5,0.25,0.0,0.5,0.0,0,0,0.25,0.5,0.0,0.0,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5
52,Dorit,Hashprep,0.75,0.75,0.75,0.25,0.5,0.5,0.5,1,0,0.75,0.75,1.0,0.0,0.27515,0.75,0.75,0.5,0.5,0.0,1.0,0.0,0.5,0.5,1.0,0.9231
53,Dorit,Triputhao,0.75,0.5,0.75,0.25,0.5,0.0,0.5,0,1,0.75,0.75,1.0,1.0,0.5,0.75,0.75,0.75,0.5,1.0,1.0,0.0,1.0,0.5,1.0,0.8189500000000001
54,Dorit,Fittree,1.0,0.75,1.0,0.5,1.0,0.5,1.0,1,0,0.75,0.75,1.0,1.0,0.7553000000000001,1.0,0.75,0.75,0.5,0.0,1.0,0.5,1.0,1.0,1.0,0.9531000000000001
55,Dorit,Discount monkey,0.5,0.5,0.75,0.25,0.0,0.5,0.5,0,1,0.5,0.75,0.5,0.5,0.5,0.75,0.5,0.75,0.5,0.0,1.0,0.0,1.0,0.5,0.5,0.9731000000000001
56,Dorit,Superfan,0.75,0.75,1.0,0.75,0.5,0.5,0.5,0,0,0.75,0.5,0.5,0.5,0.7294,0.75,0.5,0.5,0.5,0.0,1.0,0.5,0.5,1.0,1.0,0.9119999999999999
57,Dorit,Repup,1.0,1.0,1.0,1.0,1.0,0.5,0.5,1,1,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.8953
58,Dorit,CoPro,0.75,0.75,0.75,0.75,0.5,0.5,0.5,0,1,0.75,0.5,0.5,0.5,0.5,0.75,0.75,0.75,0.5,0.0,1.0,1.0,0.5,1.0,1.0,0.9220999999999999
59,Dorit,BlueLotus360,0.75,0.75,0.75,0.75,1.0,0.5,0.5,1,0,0.75,0.75,1.0,0.5,0.5,0.75,0.75,0.75,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.51935
60,Dorit,Onspon,0.5,0.75,0.5,0.25,1.0,0.0,0.5,1,1,0.75,0.75,1.0,0.5,0.6806,0.75,0.75,0.5,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.94365
61,Dorit,Brightfox learning,0.5,0.25,0.5,0.25,0.5,0.0,0.5,1,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,1.0,0.0,0.0,1.0,1.0,0.9530000000000001
62,Dorit,Cheqqme,1.0,1.0,0.75,0.75,0.5,0.0,0.5,1,0,0.75,0.5,0.5,0.5,0.7202,1.0,0.75,0.75,0.5,0.0,1.0,1.0,0.5,0.5,1.0,0.9548
63,Dorit,101 career,1.0,1.0,1.0,0.5,1.0,0.5,0.5,0,1,1.0,0.75,1.0,0.5,0.5,0.75,1.0,1.0,0.5,1.0,1.0,0.5,1.0,1.0,1.0,0.92405
64,Dorit,popular chips,1.0,1.0,1.0,0.5,1.0,0.5,0.5,1,1,1.0,1.0,1.0,1.0,0.8243,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.9375
65,Hitoshi Iwasaki,"Astra IT, INC - Czar Securities",1.0,0.75,0.75,0.75,0.5,0.5,1.0,1,1,1.0,0.75,1.0,0.5,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,0.9568
66,Hitoshi Iwasaki,Sherpa Funds Technology,0.5,0.5,0.25,0.5,0.0,1.0,0.5,0,1,0.75,0.75,0.5,0.5,0.67,0.75,0.5,0.75,0.5,1.0,0.5,1.0,0.5,0.0,0.5,0.8453999999999999
